Bairro,Município,Populção Total(Senso 2010),Pop. De Homens (Senso 2010),Pop. De Mulheres (Senso 2010),procurar,raw,LATITUDE,LONGITUDE,POINT
Benedito Bentes,Maceió,88084,42312,45772,"Maceió, Benedito Bentes","Benedito Bentes, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.5561682,-35.7237673,"9 33m 22.2055s S, 35 43m 25.5623s W"
Mutange,Maceió,2632,1248,1384,"Maceió, Mutange","Mutange, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6386023,-35.7472803,"9 38m 18.9683s S, 35 44m 50.2091s W"
Pajuçara,Maceió,3711,1675,2036,"Maceió, Pajuçara","Pajuçara, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6704322,-35.7167905,"9 40m 13.5559s S, 35 43m 0.4458s W"
Barro Duro,Maceió,14431,6758,7673,"Maceió, Barro Duro","Barro Duro, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6189777,-35.7192917,"9 37m 8.31972s S, 35 43m 9.45012s W"
Pescaria,Maceió,2784,1412,1372,"Maceió, Pescaria","Pescaria, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.5472179,-35.6247223,"9 32m 49.9844s S, 35 37m 29.0003s W"
Petrópolis,Maceió,23675,11252,12423,"Maceió, Petrópolis","Petrópolis, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.605307,-35.7574033,"9 36m 19.1052s S, 35 45m 26.6519s W"
Pinheiro,Maceió,19062,8484,10578,"Maceió, Pinheiro","Pinheiro, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6321474,-35.7419526,"9 37m 55.7306s S, 35 44m 31.0294s W"
Pitanguinha,Maceió,4789,2211,2578,"Maceió, Pitanguinha","Pitanguinha, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6372814,-35.7325694,"9 38m 14.213s S, 35 43m 57.2498s W"
Prado,Maceió,17763,7954,9809,"Maceió, Prado","Prado, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6694197,-35.7490135,"9 40m 9.91092s S, 35 44m 56.4486s W"
Riacho Doce,Maceió,5218,2512,2706,"Maceió, Riacho Doce","Riacho Doce, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.5584921,-35.6469817,"9 33m 30.5716s S, 35 38m 49.1341s W"
Santo Amaro,Maceió,1927,908,1019,"Maceió, Santo Amaro","Santo Amaro, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.608248,-35.742415,"9 36m 29.6928s S, 35 44m 32.694s W"
Santa Lúcia,Maceió,26061,12321,13740,"Maceió, Santa Lúcia","Santa Lúcia, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.5813609,-35.7535285,"9 34m 52.8992s S, 35 45m 12.7026s W"
Tabuleiro do Martins,Maceió,64755,30314,34441,"Maceió, Tabuleiro do Martins","Delegacia das Mulheres - Maceió, 270, Rua Antônio Souza Braga, Salvador Lyra, Tabuleiros dos Martins, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, 57081-457, Brasil",-9.5622175,-35.7557339,"9 33m 43.983s S, 35 45m 20.642s W"
Santos Dumont,Maceió,20471,9728,10743,"Maceió, Santos Dumont","Santos Dumont, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, 57075-000, Brasil",-9.5567283,-35.7884923,"9 33m 24.2219s S, 35 47m 18.5723s W"
São Jorge,Maceió,8445,4051,4394,"Maceió, São Jorge","São Jorge, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6178778,-35.7058252,"9 37m 4.36008s S, 35 42m 20.9707s W"
Trapiche da Barra,Maceió,25303,11859,13444,"Maceió, Trapiche da Barra","Trapiche da Barra, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6716977,-35.7592837,"9 40m 18.1117s S, 35 45m 33.4213s W"
Vergel do Lago,Maceió,31538,14751,16787,"Maceió, Vergel do Lago","Vergel do Lago, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6549289,-35.7578074,"9 39m 17.744s S, 35 45m 28.1066s W"
Bom Parto,Maceió,12841,6081,6760,"Maceió, Bom Parto","Bom Parto, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6518915,-35.743108,"9 39m 6.8094s S, 35 44m 35.1888s W"
Poço,Maceió,20776,9131,11645,"Maceió, Poço","Poço, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, 57025-000, Brasil",-9.6629654,-35.723402,"9 39m 46.6754s S, 35 43m 24.2472s W"
Canaã,Maceió,5025,2393,2632,"Maceió, Canaã","Canaã, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6047767,-35.7389067,"9 36m 17.1961s S, 35 44m 20.0641s W"
Rio Novo,Maceió,7310,3552,3758,"Maceió, Rio Novo","Rio Novo, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.5797789,-35.8032391,"9 34m 47.204s S, 35 48m 11.6608s W"
Ponta da Terra,Maceió,8403,3737,4666,"Maceió, Ponta da Terra","Ponta da Terra, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6639778,-35.7151858,"9 39m 50.3201s S, 35 42m 54.6689s W"
Centro Maceió,Maceió,2818,1299,1513,"Maceió, Centro Maceió","Maceió, Rua Doutor Pedro Monteiro, Centro, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, 57020-380, Brasil",-9.667978349999998,-35.73699972470622,"9 40m 4.72206s S, 35 44m 13.199s W"
Chã da Jaqueira,Maceió,16617,7908,8709,"Maceió, Chã da Jaqueira","Chã da Jaqueira, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6160875,-35.7484338,"9 36m 57.915s S, 35 44m 54.3617s W"
Chã de Bebedouro,Maceió,10541,5003,5538,"Maceió, Chã de Bebedouro","Chã de Bebedouro, Maceió, Região Geográfica Imediata de Maceió, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-9.6195126,-35.7572043,"9 37m 10.2454s S, 35 45m 25.9355s W"
